customer_id,customer_since,region,plan_type,login_frequency,session_duration,app_visits,pages_viewed,cart_activity,email_open_rate,feature_usage_score,last_login_days,purchase_count,total_spend,avg_order_value,purchase_frequency,last_purchase_days,payment_failures,refund_count,subscription_status,churn
CUST-0011,2023-07-11 17:10:26.719034,Asia,Pro,48,50.0,41,67,4,0.8131476551679849,4.253384348396309,13,27.0,658.8310156941617,24.401148729413396,15,95,0,0,Active,0
CUST-0012,2023-07-12 17:10:26.719034,Asia,Basic,37,84.0,5,278,13,0.25747897614372484,4.228543175914889,0,17.0,1644.9982687812417,96.7646040459554,3,14,2,8,Active,0
CUST-0013,2023-07-13 17:10:26.719034,Asia,Enterprise,79,288.0,18,317,15,0.7744194946063033,5.763407033292312,16,44.0,1058.7774178172776,24.063123132210855,10,54,3,0,Active,0
CUST-0014,2023-07-14 17:10:26.719034,Asia,Enterprise,44,185.0,26,67,12,0.38555356440131383,6.259563294305117,24,45.0,2493.462918143383,55.410287069852956,15,78,1,5,Active,0
CUST-0015,2023-07-15 17:10:26.719034,South America,Basic,15,159.0,20,297,19,0.5066857908540028,8.17175413248572,58,8.0,2385.3433273317983,298.1679159164748,16,6,3,1,Expired,1
CUST-0016,2023-07-16 17:10:26.719034,North America,Basic,43,282.0,41,474,3,0.8560010748931528,4.068699071162362,7,16.0,4508.513041062002,281.78206506637514,17,78,1,3,Active,1
CUST-0017,2023-07-17 17:10:26.719034,South America,Basic,48,117.0,49,114,10,0.7499536818024078,8.24919654736528,4,18.0,183.3523377494596,10.186240986081089,19,81,0,5,Active,0
CUST-0018,2023-07-18 17:10:26.719034,South America,Enterprise,87,148.0,27,237,16,0.8051168513161777,4.047501062013692,4,33.0,1606.199087572139,48.67269962339815,11,18,3,4,Active,0
CUST-0019,2023-07-19 17:10:26.719034,South America,Enterprise,70,280.0,49,256,6,0.13684516658635681,1.4988969004711046,40,1.0,2987.32288106548,2987.32288106548,16,20,1,5,Active,1
CUST-0020,2023-07-20 17:10:26.719034,Asia,Basic,46,298.0,12,197,13,0.06971942583372948,5.9876888590431205,34,12.0,3027.9607916013797,252.33006596678163,5,115,4,2,Active,1
CUST-0021,2023-07-21 17:10:26.719034,Europe,Pro,43,221.0,7,92,10,0.8934047290879871,6.291120924053331,18,6.0,2405.829882780904,400.97164713015064,5,62,4,4,Active,1
CUST-0022,2023-07-22 17:10:26.719034,North America,Basic,21,281.0,3,195,8,0.38783426957109435,9.410862210596742,22,41.0,4080.171048665022,99.5163670406103,14,81,1,1,,0
CUST-0023,2023-07-23 17:10:26.719034,Europe,Enterprise,23,75.0,10,261,12,0.28787967806968084,7.53455193456227,8,5.0,322.9836353581494,64.59672707162989,18,80,3,6,Active,0
CUST-0024,2023-07-24 17:10:26.719034,South America,Enterprise,80,257.0,34,364,17,0.7246962542618245,9.259953872449955,53,16.0,4079.2839502448783,254.9552468903049,8,40,3,2,Active,1
CUST-0025,2023-07-25 17:10:26.719034,South America,Enterprise,47,,25,247,10,0.8364155965798566,9.175124892187085,29,18.0,2478.823659774161,137.71242554300895,5,39,0,0,Active,0
CUST-0026,2023-07-26 17:10:26.719034,Europe,Basic,15,56.0,35,369,14,0.8624896218983009,6.441166992324179,49,49.0,677.4658684342409,13.825834049678384,7,52,0,7,,0
CUST-0027,2023-07-27 17:10:26.719034,Europe,Basic,25,210.0,16,193,18,0.31599714112522737,5.749858588028028,15,18.0,4429.652548566984,246.0918082537213,16,32,2,7,Expired,1
CUST-0028,2023-07-28 17:10:26.719034,Europe,Basic,36,157.0,2,293,0,0.852212391201674,6.016968704472399,32,1.0,3249.651609909408,3249.651609909408,14,108,0,2,Expired,0
CUST-0029,2023-07-29 17:10:26.719034,South America,Basic,75,133.0,24,394,3,0.04093394437434539,9.80497726909523,1,19.0,826.0929772524551,43.47857775012921,5,73,3,6,Active,0
CUST-0030,2023-07-30 17:10:26.719034,South America,Enterprise,51,10.0,10,435,13,0.049661491459718876,7.95850922572263,13,8.0,177.91211976114278,22.239014970142847,9,27,2,8,,0
CUST-0031,2023-07-31 17:10:26.719034,North America,Enterprise,15,256.0,38,219,13,0.6235191951741544,1.9563931431315624,45,3.0,714.1371451799199,238.0457150599733,4,110,0,7,Active,1
CUST-0032,2023-08-01 17:10:26.719034,North America,Enterprise,68,137.0,22,313,2,0.06310636911554623,8.005855661032598,0,25.0,3047.9018213001636,121.91607285200655,4,52,1,2,Active,1
CUST-0033,2023-08-02 17:10:26.719034,South America,Enterprise,21,200.0,26,305,16,0.3246091685101615,2.534842440084033,25,5.0,904.6882139476418,180.93764278952835,16,97,4,1,Expired,1
CUST-0034,2023-08-03 17:10:26.719034,Europe,Pro,13,76.0,43,106,2,0.672755986246924,5.026154941050631,57,40.0,1136.5577436263902,28.413943590659756,17,63,0,9,Expired,0
CUST-0035,2023-08-04 17:10:26.719034,Europe,Pro,86,13.0,39,456,15,0.33726689605422633,2.8941370495888084,24,19.0,135.44723152400775,7.128801659158302,15,74,0,6,Active,0
CUST-0036,2023-08-05 17:10:26.719034,North America,Enterprise,19,152.0,27,469,13,0.17959978144009592,7.206247589799068,15,18.0,3617.424054470632,200.96800302614622,4,63,1,6,Active,0
CUST-0037,2023-08-06 17:10:26.719034,South America,Enterprise,34,200.0,29,465,19,0.28135062185384163,8.89578762573732,14,31.0,4053.718354799591,130.76510821934164,6,17,3,8,Active,1
CUST-0038,2023-08-07 17:10:26.719034,North America,Basic,78,30.0,47,481,12,0.4575753322504318,3.6132569683001288,25,33.0,3986.2724020928945,120.79613339675439,16,113,1,4,Active,1
CUST-0039,2023-08-08 17:10:26.719034,North America,Basic,68,236.0,38,217,14,0.4753858553554824,1.7380966708736887,46,,646.5650753077783,13.756703729952731,4,49,0,3,Active,0
CUST-0040,2023-08-09 17:10:26.719034,Asia,Basic,52,,20,379,13,0.783000231347202,3.6864378826746695,43,18.0,4517.472625669909,250.97070142610605,6,100,3,7,,1
CUST-0041,2023-08-10 17:10:26.719034,Asia,Enterprise,27,151.0,27,397,18,0.7501532294315125,7.051256721389749,15,39.0,3364.6713590756594,86.27362459168357,5,81,2,3,Active,0
CUST-0042,2023-08-11 17:10:26.719034,Asia,Pro,29,48.0,41,431,5,0.4568178045561352,3.9588411479900496,13,16.0,4488.667825660554,280.5417391037846,16,82,0,3,Expired,0
CUST-0043,2023-08-12 17:10:26.719034,Europe,Basic,28,261.0,20,420,9,0.8456673490987714,3.5030095079842307,28,16.0,2241.330917608011,140.0831823505007,16,116,1,1,Expired,1
CUST-0044,2023-08-13 17:10:26.719034,South America,Pro,35,216.0,44,146,14,0.11423713859139584,2.6599167152583845,23,47.0,2190.4047568076517,46.604356527822375,10,23,2,0,Active,1
CUST-0045,2023-08-14 17:10:26.719034,South America,Pro,8,219.0,19,376,19,0.2553533502289015,5.477647841869902,46,38.0,3924.837228237627,103.28519021677967,9,98,4,3,Expired,1
CUST-0046,2023-08-15 17:10:26.719034,South America,Basic,16,124.0,20,409,5,0.8279764635022515,3.4835394534146884,54,41.0,475.55629882895016,11.598934117779272,4,72,2,6,Active,1
CUST-0047,2023-08-16 17:10:26.719034,South America,Basic,36,234.0,35,193,9,0.3779940386261531,7.579093142255348,14,7.0,2609.1614428080798,372.7373489725828,14,13,1,8,Active,1
CUST-0048,2023-08-17 17:10:26.719034,Asia,Pro,30,143.0,47,85,6,0.9811815587938422,1.6896016179298243,18,14.0,4183.557335799816,298.8255239857012,4,23,2,8,Active,1
CUST-0049,2023-08-18 17:10:26.719034,Europe,Pro,18,260.0,2,296,16,0.4662532815278354,6.9762972980018585,7,43.0,4152.660889717161,96.57350906318979,12,57,1,9,Active,1
CUST-0050,2023-08-19 17:10:26.719034,Europe,Pro,2,228.0,30,481,17,0.7919356229637641,3.138040131109929,33,48.0,4781.102953148421,99.60631152392544,10,62,0,0,Expired,1
CUST-0051,2023-08-20 17:10:26.719034,Asia,Pro,49,100.0,34,384,16,0.40230704138237194,5.403513349464428,1,25.0,3494.380241717427,139.77520966869707,4,54,3,4,,0
CUST-0052,2023-08-21 17:10:26.719034,Europe,Enterprise,77,55.0,22,151,8,0.4249535190624304,3.5748092982813455,26,32.0,1046.7754409042445,32.71173252825764,18,20,4,6,Active,1
CUST-0053,2023-08-22 17:10:26.719034,Asia,Pro,4,47.0,3,246,9,0.3828831472841835,7.504918084097161,9,38.0,111.1987713239583,2.9262834558936395,13,86,3,6,Expired,0
CUST-0054,2023-08-23 17:10:26.719034,South America,Pro,90,151.0,6,34,9,0.7190756205108118,9.50776336226473,34,22.0,2402.2848351492385,109.19476523405629,13,111,3,9,Active,0
CUST-0055,2023-08-24 17:10:26.719034,Asia,Enterprise,89,109.0,15,299,6,0.5475178840599945,9.25369101522832,22,,2573.3822894565524,160.83639309103452,14,52,3,5,Expired,0
CUST-0056,2023-08-25 17:10:26.719034,South America,Basic,94,199.0,27,76,15,0.9437781113683691,6.25083593629682,48,29.0,1208.910296649668,41.68656195343683,18,23,1,9,Active,0
CUST-0057,2023-08-26 17:10:26.719034,South America,Basic,75,44.0,10,259,17,0.25089031653410476,5.1634927293128055,7,16.0,632.24026114678,39.51501632167375,1,105,1,3,Active,1
CUST-0058,2023-08-27 17:10:26.719034,North America,Basic,7,156.0,9,417,5,0.10056273208344435,8.364704584954437,27,,2935.1787492906396,244.5982291075533,16,35,4,2,Active,0
CUST-0059,2023-08-28 17:10:26.719034,Asia,Pro,95,39.0,33,127,19,0.3932614850992152,7.149937263649569,22,17.0,3823.635813380465,224.91975372826266,15,67,1,8,Active,0
CUST-0060,2023-08-29 17:10:26.719034,North America,Pro,74,93.0,32,499,0,0.616712707646776,2.6520770279523957,3,37.0,4965.838976914901,134.21186424094327,5,34,1,9,Active,0
CUST-0061,2023-08-30 17:10:26.719034,Asia,Pro,39,290.0,48,82,0,0.860798936915495,8.388272922517002,13,,3793.9300598804875,140.51592814372177,6,33,1,3,Expired,1
CUST-0062,2023-08-31 17:10:26.719034,Asia,Basic,13,279.0,6,291,11,0.34619688668032766,4.859959504552392,52,,3970.225747135349,158.80902988541396,6,46,1,7,Active,1
CUST-0063,2023-09-01 17:10:26.719034,North America,Basic,31,163.0,41,413,1,0.6537867511244616,2.700870939740576,41,13.0,3086.1397823616994,237.39536787397688,3,81,0,0,Expired,1
CUST-0064,2023-09-02 17:10:26.719034,North America,Basic,71,111.0,36,457,3,0.35019868102321905,3.536176153568432,28,8.0,4929.7540682603885,616.2192585325486,16,45,4,6,Active,0
CUST-0065,2023-09-03 17:10:26.719034,Asia,Basic,63,224.0,2,369,16,0.6172195829944581,3.407743272235081,0,5.0,3203.3823617217063,640.6764723443413,12,19,1,5,Active,0
CUST-0066,2023-09-04 17:10:26.719034,Europe,Pro,56,159.0,29,19,3,0.8848079470306509,5.672862771431141,3,12.0,4302.663899134524,358.55532492787705,4,94,4,0,Active,1
CUST-0067,2023-09-05 17:10:26.719034,South America,Basic,42,92.0,4,220,10,0.23135764225940902,3.1093308161008797,31,41.0,4729.465384742369,115.35281426200899,1,87,2,3,Active,1
CUST-0068,2023-09-06 17:10:26.719034,North America,Basic,61,119.0,1,332,3,0.40424164210703917,2.1120983866141856,32,3.0,4649.993917497799,1549.9979724992663,4,15,0,4,Active,0
CUST-0069,2023-09-07 17:10:26.719034,South America,Enterprise,42,284.0,19,161,0,0.9932651964297465,2.1132176555238464,48,35.0,1913.262565478949,54.66464472796997,1,78,1,7,Active,1
CUST-0070,2023-09-08 17:10:26.719034,Europe,Basic,56,210.0,26,14,6,0.8685570282494608,6.24948577425187,25,33.0,402.5236709881507,12.19768699964093,8,66,0,3,Active,0
CUST-0071,2023-09-09 17:10:26.719034,Europe,Pro,36,293.0,25,204,17,0.564639857896202,7.612833599644407,16,22.0,867.6497756708417,39.43862616685644,5,39,0,2,Active,0
CUST-0072,2023-09-10 17:10:26.719034,Europe,Pro,84,182.0,10,451,8,0.5166275918542753,3.893797079545067,38,44.0,305.5242939290713,6.943733952933439,2,113,2,1,,1
CUST-0073,2023-09-11 17:10:26.719034,North America,Basic,68,215.0,15,292,2,0.284600382304681,1.3118563883261536,22,9.0,535.9307047974088,59.54785608860098,12,18,4,3,Active,0
CUST-0074,2023-09-12 17:10:26.719034,Europe,Pro,7,72.0,22,473,7,0.5172094276935294,2.1450239824330968,31,41.0,931.4097170095512,22.717310170964662,17,70,0,9,Active,1
CUST-0075,2023-09-13 17:10:26.719034,North America,Enterprise,54,82.0,48,122,18,0.8481814982799472,9.232251043033514,51,18.0,1712.0606397711347,95.11447998728526,7,59,3,3,Active,0
CUST-0076,2023-09-14 17:10:26.719034,Europe,Enterprise,1,260.0,21,280,3,0.6851745132777806,5.441892936305077,14,29.0,2722.262836409628,93.87113228998717,11,32,2,9,Expired,0
CUST-0077,2023-09-15 17:10:26.719034,South America,Basic,44,133.0,22,172,17,0.2900440281779866,5.0821552865365724,12,39.0,3561.293476181879,91.3152173379969,4,21,3,4,Expired,0
CUST-0078,2023-09-16 17:10:26.719034,South America,Enterprise,45,130.0,36,469,19,0.20146392105353295,1.3424426047908182,59,27.0,1062.5274071714946,39.35286693227758,5,40,2,6,Active,1
CUST-0079,2023-09-17 17:10:26.719034,Asia,Basic,47,284.0,34,114,10,0.2652085369968291,7.557733200852092,1,36.0,3365.8867971483155,93.49685547634209,6,92,3,8,Active,1
CUST-0080,2023-09-18 17:10:26.719034,South America,Basic,13,129.0,30,190,13,0.16975920139282652,5.75261272838871,59,45.0,3524.252781767074,78.31672848371275,11,27,3,1,Active,1
CUST-0081,2023-09-19 17:10:26.719034,Asia,Basic,22,173.0,25,53,17,0.09564069602371594,2.818728424778687,18,17.0,2797.5254609622853,164.5603212330756,1,2,0,4,Active,0
CUST-0082,2023-09-20 17:10:26.719034,South America,Enterprise,21,295.0,45,291,15,0.419136174442055,1.9906638416295146,23,34.0,4519.053170295566,132.91332853810488,10,97,0,9,Active,1
CUST-0083,2023-09-21 17:10:26.719034,North America,Basic,86,274.0,28,184,2,0.1132996043982677,4.450490772687987,44,,563.8641214698351,12.257915684126852,11,80,2,8,,1
CUST-0084,2023-09-22 17:10:26.719034,South America,Basic,92,170.0,1,171,14,0.17191255772710434,8.534457677755231,23,3.0,893.8360734360732,297.9453578120244,17,39,4,2,Active,1
CUST-0085,2023-09-23 17:10:26.719034,Asia,Pro,9,98.0,49,480,3,0.5473246843394861,8.78765103280922,10,5.0,2149.0374737035295,429.8074947407059,8,86,0,0,Active,0
CUST-0086,2023-09-24 17:10:26.719034,Asia,Basic,26,151.0,45,360,4,0.16459927369957472,6.425617423560728,58,14.0,642.296548818852,45.878324915632284,13,56,0,1,Expired,1
CUST-0087,2023-09-25 17:10:26.719034,Europe,Basic,9,212.0,4,443,16,0.06387976743090285,7.547827845071284,21,3.0,2835.817757183196,945.272585727732,18,107,1,5,Active,0
CUST-0088,2023-09-26 17:10:26.719034,North America,Basic,15,236.0,7,349,6,0.3173888500278852,2.0364020866258334,14,23.0,1998.0183283810277,86.87036210352294,16,111,0,4,Active,0
CUST-0089,2023-09-27 17:10:26.719034,South America,Basic,10,231.0,49,149,15,0.22031909862196752,6.293134589210694,9,39.0,1430.133014734233,36.67007730087777,2,13,4,0,Active,0
CUST-0090,2023-09-28 17:10:26.719034,Europe,Basic,88,50.0,9,480,13,0.5153051879943767,7.002691331384636,40,30.0,858.2491669580099,28.608305565267,5,56,1,0,Active,1
CUST-0091,2023-09-29 17:10:26.719034,South America,Basic,42,205.0,36,141,15,0.10236708458320931,2.80641558622413,26,45.0,1683.3378093575693,37.40750687461265,18,66,3,3,Expired,1
CUST-0092,2023-09-30 17:10:26.719034,South America,Pro,72,77.0,19,96,6,0.7517707876829781,8.92139259619233,59,23.0,3043.7171606533866,132.33552872406028,3,78,3,3,Active,1
CUST-0093,2023-10-01 17:10:26.719034,Europe,Basic,24,273.0,1,185,8,0.9062335194351386,2.754970637689178,8,27.0,2883.168202338164,106.78400749400608,17,56,1,5,Active,0
CUST-0094,2023-10-02 17:10:26.719034,Europe,Basic,80,11.0,10,192,3,0.7434351739561944,3.8212962386180536,51,10.0,826.4837610490667,82.64837610490667,16,102,1,5,Active,0
CUST-0095,2023-10-03 17:10:26.719034,Europe,Enterprise,49,134.0,36,377,10,0.5328270374013943,6.585011623211127,27,25.0,633.3498555957607,25.333994223830427,6,105,1,9,Expired,0
CUST-0096,2023-10-04 17:10:26.719034,Europe,Basic,26,119.0,9,138,1,0.8606678217888851,6.745150586176577,0,13.0,143.1170454182739,11.009003493713378,19,28,2,5,Active,0
CUST-0097,2023-10-05 17:10:26.719034,Europe,Pro,91,95.0,45,255,11,0.6949183797815075,7.294462668886306,16,16.0,72.00371303172201,4.500232064482626,7,64,4,0,Active,0
CUST-0098,2023-10-06 17:10:26.719034,South America,Basic,37,129.0,46,98,11,0.010551122450189854,2.008105417613851,30,41.0,4400.254074241229,107.32327010344461,18,71,4,9,,0
CUST-0099,2023-10-07 17:10:26.719034,Europe,Basic,68,136.0,42,75,3,0.3940901527745031,8.645179869356998,43,34.0,234.9933914668957,6.911570337261638,14,82,3,8,Active,0
CUST-0100,2023-10-08 17:10:26.719034,North America,Basic,50,264.0,32,167,17,0.8509518994068,5.795624190549339,9,37.0,3658.793338267499,98.88630643966214,6,64,3,6,Active,0
CUST-0101,2023-10-09 17:10:26.719034,Asia,Basic,24,192.0,32,396,6,0.3458588579752693,5.241896146945615,36,22.0,4361.205630262336,198.2366195573789,8,56,3,6,Active,1
CUST-0102,2023-10-10 17:10:26.719034,Europe,Basic,19,25.0,6,387,0,0.0352151735255235,9.829878620621587,28,17.0,499.30866432666335,29.371097901568433,15,41,0,6,Active,0
CUST-0103,2023-10-11 17:10:26.719034,Europe,Basic,60,71.0,48,158,12,0.7461796385522723,7.663404672469178,17,23.0,2187.144104926758,95.09322195333729,15,119,3,1,Active,1
CUST-0104,2023-10-12 17:10:26.719034,South America,Basic,39,167.0,38,482,5,0.8020382702828686,2.062054239574374,46,36.0,4811.891886039641,133.66366350110113,15,100,1,1,Active,0
CUST-0105,2023-10-13 17:10:26.719034,Europe,Basic,74,277.0,17,349,5,0.16059369504330856,7.808852505036167,37,49.0,4172.35191601269,85.15003910229979,16,41,3,5,Active,1
CUST-0106,2023-10-14 17:10:26.719034,Europe,Basic,89,44.0,10,442,11,0.5373404968431812,1.8572404057558254,38,9.0,2453.623118970697,272.6247909967441,1,100,1,6,Active,1
CUST-0107,2023-10-15 17:10:26.719034,Europe,Basic,18,276.0,27,125,7,0.19195543899572576,1.2472350626168636,48,2.0,3815.229852829849,1907.6149264149244,11,108,2,2,Active,1
CUST-0108,2023-10-16 17:10:26.719034,South America,Basic,19,73.0,35,223,18,0.7192344190441468,4.632633057429074,5,32.0,4168.554345914003,130.26732330981258,5,4,0,3,Active,0
CUST-0109,2023-10-17 17:10:26.719034,Europe,Pro,36,59.0,21,478,4,0.27155045517748566,9.942203555372968,39,22.0,1746.6545463117093,79.39338846871406,5,57,0,2,Active,0
CUST-0110,2023-10-18 17:10:26.719034,Asia,Pro,74,264.0,25,455,17,0.31621512256333006,2.5739554257537636,11,43.0,4461.843055181105,103.76379198095593,6,30,4,6,,0
CUST-0111,2023-10-19 17:10:26.719034,South America,Basic,97,158.0,28,490,4,0.8449708536401014,7.05379909174111,52,,2357.661865189012,181.3586050145394,2,88,2,6,Active,0
CUST-0112,2023-10-20 17:10:26.719034,Asia,Pro,55,285.0,47,381,9,0.47632235220690433,2.560564595855074,13,8.0,2643.7587441585615,330.4698430198202,6,84,1,3,,1
CUST-0113,2023-10-21 17:10:26.719034,South America,Pro,69,,15,303,0,0.6697544512182478,7.5230827746254745,43,1.0,4998.541112730937,4998.541112730937,14,46,2,6,Active,0
CUST-0114,2023-10-22 17:10:26.719034,Europe,Basic,47,210.0,4,262,9,0.40237305072246765,5.548183014140435,54,17.0,4218.081801099284,248.1224588881932,11,56,0,4,Active,1
CUST-0115,2023-10-23 17:10:26.719034,Asia,Enterprise,49,44.0,29,152,4,0.2980068571937554,7.119745390804386,9,12.0,1815.2323288071702,151.26936073393085,4,31,1,0,Active,0
CUST-0116,2023-10-24 17:10:26.719034,South America,Enterprise,99,225.0,9,259,11,0.6254780604246614,2.8258585832281113,53,4.0,61.62452639877274,15.406131599693184,9,88,2,9,Expired,1
CUST-0117,2023-10-25 17:10:26.719034,North America,Basic,98,74.0,27,375,6,0.15485757407882128,7.710654992684518,19,13.0,3134.6086282315346,241.12374063319496,3,7,0,3,Expired,0
CUST-0118,2023-10-26 17:10:26.719034,Europe,Basic,33,17.0,26,445,8,0.372999835566863,9.96057153660436,14,31.0,3522.527996379258,113.62993536707285,16,90,1,6,Active,1
CUST-0119,2023-10-27 17:10:26.719034,South America,Enterprise,21,85.0,19,472,11,0.20903703738592228,6.990854505633638,30,41.0,3257.5054238154644,79.45135180037718,11,77,1,1,Expired,1
CUST-0120,2023-10-28 17:10:26.719034,North America,Pro,81,183.0,28,311,0,0.6957949669407455,5.441319982655899,6,7.0,4839.633132304433,691.3761617577762,4,54,0,1,Active,0
CUST-0121,2023-10-29 17:10:26.719034,South America,Basic,22,56.0,17,34,10,0.9442088383461076,9.308565897573382,57,23.0,4316.2254263874,187.66197506032174,1,8,1,0,Active,1
CUST-0122,2023-10-30 17:10:26.719034,North America,Basic,48,24.0,43,286,14,0.9955109680158664,1.1426665800868867,40,24.0,2249.670148971436,93.73625620714317,16,55,0,1,,1
CUST-0123,2023-10-31 17:10:26.719034,Europe,Basic,37,156.0,41,481,1,0.45027681044159074,7.56931167357239,9,,323.65886248718095,64.7317724974362,19,69,3,9,Expired,0
CUST-0124,2023-11-01 17:10:26.719034,Asia,Basic,15,35.0,42,386,19,0.2525303896364445,8.998718651324316,9,5.0,2385.5332598149644,477.1066519629929,16,44,3,7,,0
CUST-0125,2023-11-02 17:10:26.719034,North America,Pro,35,102.0,20,387,6,0.44282937038432413,1.555071252588617,47,17.0,3449.327659610495,202.90162703591147,11,13,1,7,Active,1
CUST-0126,2023-11-03 17:10:26.719034,South America,Basic,92,241.0,45,398,11,0.8472694099627238,5.050577533741824,38,30.0,3042.471943052753,101.41573143509177,8,93,1,7,Active,0
CUST-0127,2023-11-04 17:10:26.719034,Europe,Basic,71,30.0,40,79,17,0.20600567855203988,2.84247508554999,27,9.0,2695.3039678773157,299.47821865303507,1,20,0,0,Active,0
CUST-0128,2023-11-05 17:10:26.719034,North America,Pro,32,47.0,39,122,2,0.9520956516529238,6.098663490290471,29,6.0,2349.406600496054,391.56776674934235,9,78,1,0,Active,1
CUST-0129,2023-11-06 17:10:26.719034,South America,Basic,11,285.0,49,372,6,0.341865768798151,6.845886627432945,36,25.0,1475.8717464066578,59.03486985626631,12,32,4,9,Expired,1
CUST-0130,2023-11-07 17:10:26.719034,South America,Basic,10,166.0,23,121,10,0.9858036594503049,3.723608646358795,54,19.0,1393.9603410058999,73.36633373715263,8,60,3,3,Active,1
CUST-0131,2023-11-08 17:10:26.719034,South America,Pro,73,188.0,47,373,17,0.8386088875339622,5.139835027102907,2,16.0,2506.1550798397516,156.63469248998447,17,50,1,5,Active,0
CUST-0132,2023-11-09 17:10:26.719034,North America,Enterprise,78,141.0,32,312,11,0.8085705341473903,3.5140553674890356,49,21.0,811.4097006839486,38.63855717542612,10,27,1,7,Active,1
CUST-0133,2023-11-10 17:10:26.719034,North America,Pro,77,37.0,47,480,5,0.3179046737732836,4.324520480096024,42,2.0,1710.0202636382598,855.0101318191299,7,25,2,1,Active,1
CUST-0134,2023-11-11 17:10:26.719034,North America,Pro,57,269.0,33,461,4,0.008777211947929464,2.4358596101958123,14,10.0,1626.6565808033968,162.66565808033968,19,52,1,2,Active,0
CUST-0135,2023-11-12 17:10:26.719034,Asia,Basic,25,85.0,46,100,0,0.3821329088259878,8.970034992270683,20,16.0,2939.7926799051625,183.73704249407265,6,68,4,5,Active,0
CUST-0136,2023-11-13 17:10:26.719034,North America,Basic,2,76.0,5,27,11,0.30180936966269367,1.0900936950322277,51,37.0,342.7446788114927,9.26336969760791,19,21,3,9,Expired,1
CUST-0137,2023-11-14 17:10:26.719034,North America,Pro,64,203.0,43,158,10,0.03739699040879729,8.941682677994097,36,15.0,4150.046714522825,276.6697809681883,18,18,2,3,Active,0
CUST-0138,2023-11-15 17:10:26.719034,North America,Basic,35,171.0,48,485,3,0.5053652565059297,6.145109905147646,55,13.0,2816.2681181181665,216.63600908601282,15,39,0,1,Expired,1
CUST-0139,2023-11-16 17:10:26.719034,Asia,Basic,7,266.0,34,236,17,0.4030313112827366,3.9849205975931574,11,13.0,3357.425137071917,258.26347208245517,2,15,0,6,Active,0
CUST-0140,2023-11-17 17:10:26.719034,North America,Basic,85,81.0,40,223,3,0.6345564677415247,7.507514129142968,3,32.0,3518.4385797595696,109.95120561748655,14,53,3,3,Active,0
CUST-0141,2023-11-18 17:10:26.719034,South America,Basic,18,96.0,11,369,16,0.6211863221940832,5.569769366763979,46,45.0,1464.5058428442571,32.544574285427935,10,38,0,7,Active,0
CUST-0142,2023-11-19 17:10:26.719034,North America,Basic,67,271.0,3,160,1,0.12074663589668011,5.491977922968458,8,47.0,2357.154121250484,50.152215345754975,16,48,4,7,Expired,1
CUST-0143,2023-11-20 17:10:26.719034,South America,Basic,42,223.0,33,201,1,0.9769655461266226,1.991280546270698,38,46.0,4781.66731978964,103.94928956064435,7,52,1,6,Active,0
CUST-0144,2023-11-21 17:10:26.719034,South America,Basic,39,162.0,11,460,11,0.18693142944144692,4.505644233508678,41,8.0,3835.8591376041063,479.4823922005133,8,88,3,9,Active,1
