login_frequency,session_duration,app_visits,pages_viewed,cart_activity,email_open_rate,feature_usage_score,last_login_days,purchase_count,total_spend,avg_order_value,purchase_frequency,last_purchase_days,payment_failures,refund_count,subscription_status,churn,region_Europe,region_North America,region_South America,plan_type_Enterprise,plan_type_Pro
19,25.0,6,387,0,0.0352151735255235,9.829878620621589,28,17.0,499.30866432666335,29.371097901568437,15,41,0,6,1,0,1,0,0,0,0
60,71.0,48,158,12,0.7461796385522723,7.663404672469178,17,23.0,2187.144104926758,95.09322195333728,15,119,3,1,1,1,1,0,0,0,0
39,167.0,38,482,5,0.8020382702828686,2.062054239574374,46,36.0,4811.891886039641,133.66366350110113,15,100,1,1,1,0,0,0,1,0,0
74,277.0,17,349,5,0.1605936950433085,7.808852505036167,37,49.0,4172.35191601269,85.15003910229979,16,41,3,5,1,1,1,0,0,0,0
89,44.0,10,442,11,0.5373404968431812,1.8572404057558252,38,9.0,2453.623118970697,272.6247909967441,1,100,1,6,1,1,1,0,0,0,0
18,276.0,27,125,7,0.1919554389957257,1.2472350626168636,48,2.0,3815.229852829849,1907.6149264149244,11,108,2,2,1,1,1,0,0,0,0
19,73.0,35,223,18,0.7192344190441468,4.632633057429074,5,32.0,4168.554345914003,130.26732330981258,5,4,0,3,1,0,0,0,1,0,0
36,59.0,21,478,4,0.2715504551774856,9.942203555372968,39,22.0,1746.6545463117093,79.39338846871406,5,57,0,2,1,0,1,0,0,0,1
74,264.0,25,455,17,0.31621512256333,2.573955425753764,11,43.0,4461.843055181105,103.76379198095592,6,30,4,6,0,0,0,0,0,0,1
97,158.0,28,490,4,0.8449708536401014,7.05379909174111,52,0.0,2357.661865189012,181.3586050145394,2,88,2,6,1,0,0,0,1,0,0
55,285.0,47,381,9,0.4763223522069043,2.560564595855074,13,8.0,2643.758744158561,330.4698430198202,6,84,1,3,0,1,0,0,0,0,1
69,151.0,15,303,0,0.6697544512182478,7.523082774625474,43,1.0,4998.541112730937,4998.541112730937,14,46,2,6,1,0,0,0,1,0,1
47,210.0,4,262,9,0.4023730507224676,5.548183014140435,54,17.0,4218.081801099284,248.1224588881932,11,56,0,4,1,1,1,0,0,0,0
49,44.0,29,152,4,0.2980068571937554,7.119745390804386,9,12.0,1815.2323288071705,151.26936073393085,4,31,1,0,1,0,0,0,0,1,0
99,225.0,9,259,11,0.6254780604246614,2.825858583228112,53,4.0,61.62452639877274,15.406131599693184,9,88,2,9,0,1,0,0,1,1,0
98,74.0,27,375,6,0.1548575740788212,7.710654992684518,19,13.0,3134.6086282315346,241.12374063319496,3,7,0,3,0,0,0,1,0,0,0
33,17.0,26,445,8,0.372999835566863,9.96057153660436,14,31.0,3522.527996379258,113.62993536707285,16,90,1,6,1,1,1,0,0,0,0
21,85.0,19,472,11,0.2090370373859222,6.990854505633638,30,41.0,3257.5054238154644,79.45135180037718,11,77,1,1,0,1,0,0,1,1,0
81,183.0,28,311,0,0.6957949669407455,5.441319982655899,6,7.0,4839.633132304433,691.3761617577762,4,54,0,1,1,0,0,1,0,0,1
22,56.0,17,34,10,0.9442088383461076,9.308565897573382,57,23.0,4316.2254263874,187.6619750603217,1,8,1,0,1,1,0,0,1,0,0
48,24.0,43,286,14,0.9955109680158664,1.1426665800868867,40,24.0,2249.670148971436,93.73625620714316,16,55,0,1,0,1,0,1,0,0,0
37,156.0,41,481,1,0.4502768104415907,7.56931167357239,9,0.0,323.6588624871809,64.7317724974362,19,69,3,9,0,0,1,0,0,0,0
15,35.0,42,386,19,0.2525303896364445,8.998718651324316,9,5.0,2385.5332598149644,477.1066519629929,16,44,3,7,0,0,0,0,0,0,0
35,102.0,20,387,6,0.4428293703843241,1.555071252588617,47,17.0,3449.327659610495,202.90162703591147,11,13,1,7,1,1,0,1,0,0,1
92,241.0,45,398,11,0.8472694099627238,5.050577533741824,38,30.0,3042.471943052753,101.41573143509176,8,93,1,7,1,0,0,0,1,0,0
71,30.0,40,79,17,0.2060056785520398,2.84247508554999,27,9.0,2695.303967877316,299.47821865303507,1,20,0,0,1,0,1,0,0,0,0
32,47.0,39,122,2,0.9520956516529238,6.098663490290471,29,6.0,2349.406600496054,391.5677667493424,9,78,1,0,1,1,0,1,0,0,1
11,285.0,49,372,6,0.341865768798151,6.845886627432945,36,25.0,1475.8717464066578,59.03486985626631,12,32,4,9,0,1,0,0,1,0,0
10,166.0,23,121,10,0.9858036594503048,3.723608646358795,54,19.0,1393.9603410059,73.36633373715263,8,60,3,3,1,1,0,0,1,0,0
73,188.0,47,373,17,0.8386088875339622,5.139835027102907,2,16.0,2506.155079839752,156.63469248998447,17,50,1,5,1,0,0,0,1,0,1
78,141.0,32,312,11,0.8085705341473903,3.514055367489036,49,21.0,811.4097006839486,38.63855717542612,10,27,1,7,1,1,0,1,0,1,0
77,37.0,47,480,5,0.3179046737732836,4.324520480096024,42,2.0,1710.0202636382598,855.0101318191299,7,25,2,1,1,1,0,1,0,0,1
57,269.0,33,461,4,0.0087772119479294,2.4358596101958123,14,10.0,1626.6565808033968,162.66565808033968,19,52,1,2,1,0,0,1,0,0,1
25,85.0,46,100,0,0.3821329088259878,8.970034992270683,20,16.0,2939.7926799051625,183.73704249407265,6,68,4,5,1,0,0,0,0,0,0
2,76.0,5,27,11,0.3018093696626936,1.0900936950322275,51,37.0,342.7446788114927,9.26336969760791,19,21,3,9,0,1,0,1,0,0,0
64,203.0,43,158,10,0.0373969904087972,8.941682677994097,36,15.0,4150.046714522825,276.6697809681883,18,18,2,3,1,0,0,1,0,0,1
35,171.0,48,485,3,0.5053652565059297,6.145109905147646,55,13.0,2816.2681181181665,216.6360090860128,15,39,0,1,0,1,0,1,0,0,0
7,266.0,34,236,17,0.4030313112827366,3.984920597593157,11,13.0,3357.425137071917,258.2634720824552,2,15,0,6,1,0,0,0,0,0,0
85,81.0,40,223,3,0.6345564677415247,7.507514129142968,3,32.0,3518.4385797595696,109.95120561748656,14,53,3,3,1,0,0,1,0,0,0
18,96.0,11,369,16,0.6211863221940832,5.569769366763979,46,45.0,1464.5058428442571,32.544574285427935,10,38,0,7,1,0,0,0,1,0,0
67,271.0,3,160,1,0.1207466358966801,5.491977922968458,8,47.0,2357.154121250484,50.152215345754975,16,48,4,7,0,1,0,1,0,0,0
42,223.0,33,201,1,0.9769655461266226,1.991280546270698,38,46.0,4781.66731978964,103.94928956064436,7,52,1,6,1,0,0,0,1,0,0
39,162.0,11,460,11,0.1869314294414469,4.505644233508678,41,8.0,3835.8591376041054,479.4823922005133,8,88,3,9,1,1,0,0,1,0,0
41,219.0,16,49,5,0.4452740247647045,3.16957911271063,27,43.0,4848.088807363695,112.74625133403944,10,72,2,8,1,1,0,0,1,0,0
75,70.0,18,251,9,0.4881175434337349,1.141263150366517,22,18.0,3733.809182279979,207.43384345999883,15,28,1,3,1,0,0,0,0,1,0
24,277.0,30,147,15,0.8130627972141201,4.24089667703902,44,36.0,886.2446971455018,24.61790825404172,8,85,0,6,0,1,0,0,0,0,1
60,271.0,48,354,13,0.0992295960946467,1.8083991648304427,39,26.0,332.03406038493443,12.77054078403594,13,16,0,9,0,0,0,0,0,0,1
46,227.0,10,189,6,0.4286442792085317,3.3114703395266667,43,10.0,2892.5305692311217,289.2530569231122,12,118,2,9,1,0,0,1,0,0,1
19,292.0,18,209,18,0.6285021702362039,1.8326495906478504,21,31.0,1795.4882657160215,57.91897631342005,8,16,4,0,1,1,0,0,1,0,0
68,145.0,38,212,16,0.2151556216240555,1.9084746300075897,23,33.0,1384.5349715894697,41.955605199680896,15,35,2,3,0,1,0,0,0,0,0
90,102.0,19,70,8,0.6274678987660728,2.7911016497366945,50,29.0,4037.982872162833,139.2407886952701,12,17,3,1,1,1,0,0,0,0,1
42,118.0,36,201,12,0.9236648375496528,9.998643200377602,57,5.0,1841.296402738917,368.2592805477835,11,73,2,8,1,1,0,1,0,0,1
32,250.0,13,14,4,0.997518131172675,1.019657285715239,25,13.0,1591.8348389741766,122.44883376724437,19,99,0,4,1,1,0,0,0,0,1
39,151.0,46,387,4,0.0324510767906757,6.748053725083647,29,1.0,4251.438089913362,4251.438089913362,14,52,4,2,1,1,0,1,0,0,0
36,246.0,3,246,9,0.2355882282446775,2.271193282239016,32,23.0,4232.973809067436,184.04233952467115,18,93,4,3,1,1,1,0,0,0,0
97,186.0,10,190,9,0.3103071157916974,9.28565323039698,15,40.0,1788.2695223977323,44.70673805994331,13,103,2,5,0,1,0,0,0,0,0
36,150.0,38,320,6,0.3991261004449661,1.842696040002663,21,3.0,4164.168517919971,1388.0561726399903,4,82,3,9,1,0,1,0,0,0,0
3,198.0,1,46,14,0.2422571575847674,9.59556868413613,48,3.0,4255.384666759976,1418.4615555866585,17,12,0,0,1,0,0,1,0,0,1
73,58.0,27,65,6,0.2034879945553125,6.498337487351302,56,7.0,2125.413369798034,303.63048139971926,19,83,1,6,0,1,0,0,1,0,1
8,199.0,46,452,14,0.9545538424175,1.0114126922394122,49,36.0,341.70091974376606,9.491692215104614,9,48,4,7,1,0,0,0,0,0,0
97,145.0,8,246,2,0.918521602770518,9.046064781251255,42,35.0,17.907375887037105,0.511639311058203,7,22,2,6,1,1,0,1,0,1,0
70,151.0,46,367,18,0.0469925010031174,5.695406212302265,17,15.0,2621.229389816085,174.74862598773902,1,49,3,6,1,1,0,0,1,0,1
41,99.0,42,358,9,0.3388130216048481,3.3640276179743607,6,40.0,1726.936711918075,43.17341779795187,7,52,3,8,1,0,0,0,1,0,0
68,254.0,17,206,14,0.4051485536784066,7.905512597640671,49,0.0,4985.688151850246,1661.8960506167489,7,79,0,3,0,1,1,0,0,0,0
13,201.0,9,82,2,0.2390145346659433,9.33998998498183,25,29.0,3864.330888140148,133.252789246212,7,1,4,6,0,0,0,1,0,0,0
49,115.0,6,68,5,0.6288728969881755,5.353217408321145,7,30.0,3808.764527188559,126.95881757295196,8,66,0,8,1,0,0,0,1,0,0
60,242.0,43,249,11,0.640380746644241,3.839981269987998,5,39.0,4776.6614137538445,122.47849778856012,16,64,1,4,1,0,0,0,0,0,0
2,274.0,25,11,14,0.8505042283285971,8.10050611541434,29,18.0,4439.744745487671,246.65248586042617,3,8,1,1,1,0,0,0,0,0,0
60,46.0,39,458,5,0.7408692683852178,7.136069480096092,38,11.0,1597.7555224873795,145.25050204430724,13,86,1,4,0,0,1,0,0,0,0
5,50.0,49,369,12,0.5425733269659556,8.99877235375245,22,43.0,838.2762358033431,19.49479618147309,10,25,3,3,1,1,0,0,1,0,0
44,26.0,28,197,18,0.6535867700444199,7.232626114850737,31,49.0,3732.002402676757,76.16331434034197,18,66,4,7,1,1,0,1,0,1,0
27,286.0,33,316,2,0.2739887815430181,3.1917550500958267,21,38.0,1897.586729477536,49.93649288098779,7,115,0,4,1,0,0,0,0,0,0
32,68.0,37,39,7,0.5930561899673576,9.384933247831173,41,40.0,2371.131531638473,59.27828829096181,5,73,0,8,1,1,0,0,1,0,1
21,192.0,9,276,7,0.4892272547499192,1.9435217248539216,42,1.0,3155.6846790613863,3155.6846790613863,7,73,1,8,1,1,0,0,1,0,0
8,151.0,18,485,19,0.1333444673163704,3.411484750961631,56,29.0,4540.284657906851,156.56153992782245,17,77,4,2,1,1,1,0,0,1,0
72,48.0,21,117,14,0.2425442765829707,5.68175146951497,44,10.0,2101.24789081812,210.12478908181205,4,70,4,9,0,1,0,0,0,0,0
50,201.0,2,341,3,0.291693450721586,6.091678234638112,8,28.0,3918.751282194613,139.9554029355219,16,94,2,5,1,1,0,0,0,0,0
67,276.0,43,432,18,0.924309567052558,1.1377952796421489,30,31.0,1349.015558460541,43.51663091808196,19,79,4,5,0,0,0,1,0,1,0
44,156.0,38,99,2,0.2303866393858894,8.02515453238846,6,19.0,3492.879236708832,183.83574930046484,10,51,4,3,1,1,0,0,0,1,0
58,136.0,40,214,12,0.2892439028196681,4.2544658658285055,8,3.0,17.881311178780226,5.960437059593409,3,53,0,9,1,1,0,1,0,1,0
3,55.0,36,388,7,0.3693541300894323,4.65776686901924,12,0.0,4358.820995318268,121.078360981063,3,15,4,2,0,1,0,0,0,0,0
86,54.0,43,465,15,0.663742738625387,8.284325899932512,57,43.0,161.59410397276787,3.758002417971346,17,50,4,0,1,1,1,0,0,0,0
70,10.0,37,456,12,0.1182383924721405,4.413550525547901,2,15.0,3566.641236265295,237.77608241768635,10,71,0,6,0,0,0,0,0,0,1
2,177.0,15,457,2,0.953945212493776,1.4250238884527937,34,33.0,240.8283644138066,7.2978292246608065,17,75,4,4,0,1,0,1,0,1,0
87,117.0,28,454,15,0.8655712200947645,2.587957934233153,32,41.0,1338.5660399760773,32.64795219453847,17,104,0,9,1,1,0,1,0,0,1
44,28.0,18,390,8,0.5772160730089502,9.603128551493642,20,0.0,2491.0399937472,57.93116264528371,4,38,2,6,1,0,1,0,0,0,1
