customer_id,region,plan_type,subscription_status,login_frequency,session_duration,app_visits,pages_viewed,cart_activity,email_open_rate,feature_usage_score,last_login_days,purchase_count,total_spend,avg_order_value,purchase_frequency,last_purchase_days,payment_failures,refund_count
CUST-0022,North America,Basic,Expired,74,195,27,209,12,0.8882288405324035,2.6338775576051145,75,36,2593.7981957941124,72.04994988316979,10,137,3,2
CUST-0023,Europe,Basic,Expired,7,109,24,243,12,0.4013911759503527,6.479585616915729,15,26,1664.4999758374809,64.0192298399031,13,115,2,6
CUST-0024,South America,Enterprise,Active,24,113,10,56,1,0.6996626399808576,9.396927469001112,24,27,150.2761048583622,5.565781661420822,5,72,3,6
CUST-0025,South America,Pro,Active,63,202,13,287,11,0.4143915591830873,6.024429844904994,38,5,666.8027595964519,133.36055191929037,11,59,2,1
CUST-0026,Europe,Pro,Expired,40,239,2,388,13,0.7633313765652116,8.930313193305748,35,20,2878.09030394722,143.904515197361,8,82,1,1
CUST-0027,Europe,Pro,Expired,23,130,2,202,9,0.5552651753325981,3.770873998380533,49,11,2652.749570545098,241.15905186773617,11,116,0,7
CUST-0028,Europe,Basic,Expired,71,205,35,32,3,0.1508094636720011,7.699665567031892,69,10,157.02917038875978,15.702917038875976,4,146,3,2
CUST-0029,South America,Basic,Active,23,227,33,298,11,0.1294574941087931,5.9844931548015055,62,38,926.7900396351504,24.38921156934606,1,103,0,4
CUST-0030,South America,Basic,Active,24,174,26,236,7,0.2070816950405065,7.403870460435987,60,6,962.745446522882,160.45757442048034,11,17,2,5
CUST-0031,North America,Enterprise,Active,75,229,2,374,12,0.1109375718615978,2.467560218834311,50,8,2703.9763372149773,337.99704215187217,7,14,0,6
CUST-0032,North America,Pro,Active,56,175,17,380,14,0.1602872482819698,3.1080431892967004,78,23,127.8566241297384,5.558983657814713,8,108,0,6
CUST-0033,South America,Basic,Active,37,81,6,305,8,0.6533715177351296,2.998376964406087,75,26,461.2288988390667,17.739573032271796,3,45,3,1
CUST-0034,Europe,Basic,Active,44,142,23,292,6,0.5274770200235704,7.153741290524983,9,12,3209.668537224098,267.4723781020082,6,98,1,3
CUST-0035,Europe,Basic,Active,43,32,30,388,0,0.6999285995759774,8.333305044752215,34,26,755.2514151146178,29.048131350562223,2,131,0,1
CUST-0036,North America,Basic,Expired,5,39,4,81,2,0.8305326018061143,7.622121740064405,76,13,2628.347126014905,202.1805481549927,7,37,1,5
CUST-0037,South America,Pro,Active,15,248,13,103,12,0.5681196258603776,2.228541145501956,35,18,990.8219851345698,55.04566584080944,8,108,2,4
CUST-0038,North America,Pro,Active,61,237,27,387,11,0.6808966752574784,8.504112358060425,1,25,442.7935013994134,17.711740055976534,6,39,0,4
CUST-0039,North America,Enterprise,Active,54,68,17,236,13,0.7056649616339647,4.656100030948441,40,33,1010.5301544478436,30.6221258923589,6,15,3,3
CUST-0040,Asia,Basic,Active,27,72,38,361,8,0.4022804394206292,4.978728743780619,64,12,2902.9543808298536,241.9128650691545,5,120,2,6
CUST-0041,Asia,Basic,Active,35,81,23,206,14,0.2928678658637055,2.7865187489936067,22,36,3430.0010490198288,95.27780691721746,8,4,2,1
CUST-0042,Asia,Pro,Active,46,118,30,38,11,0.2640362628052199,7.530539045703644,60,4,3329.3684650396167,832.3421162599042,1,93,3,7
CUST-0043,Europe,Pro,Active,11,188,15,196,0,0.3011539516094388,3.367129088569685,64,5,1618.8749419928963,323.7749883985793,10,141,0,4
CUST-0044,South America,Pro,Active,20,38,29,119,8,0.319785437620727,6.229738190141273,72,37,2688.9362894540523,72.67395376902844,4,16,0,5
CUST-0045,South America,Pro,Active,64,128,6,252,7,0.2657821192064452,8.305324894084483,11,8,859.6879668924928,107.4609958615616,4,108,2,2
CUST-0046,South America,Basic,Active,6,46,31,95,0,0.8025765339833538,2.6690324653404214,14,28,1207.9335345310024,43.14048337610723,3,126,0,0
CUST-0047,South America,Pro,Active,5,189,6,284,5,0.705599305737783,6.015016730116426,60,31,3590.526483158423,115.8234349405943,3,55,1,0
CUST-0048,Asia,Basic,Active,52,100,13,303,4,0.1375171742329759,3.749123086623509,30,9,101.35759786740736,11.261955318600815,4,34,3,0
CUST-0049,Europe,Basic,Active,16,165,17,225,5,0.3149379856202459,4.571951482086952,35,29,387.7586968751489,13.370989547418928,11,13,1,7
CUST-0050,Europe,Basic,Expired,73,208,27,242,9,0.1177477936242413,5.554774560729172,85,14,871.1507078268079,62.225050559057706,1,141,0,6
CUST-0051,Asia,Basic,Expired,41,141,27,71,11,0.4985321493167144,4.663282274594786,37,22,154.8022053015879,7.036463877344904,14,18,2,1
CUST-0052,Europe,Pro,Active,36,169,22,358,12,0.4809685574312113,6.86617130218682,5,11,766.6699686046994,69.6972698731545,11,96,3,3
CUST-0053,Asia,Basic,Active,13,248,37,386,12,0.765097192050001,5.596865763156877,83,23,2353.014165830284,102.30496373175149,13,123,0,7
CUST-0054,South America,Pro,Active,23,144,34,163,12,0.3462217918168395,6.38149613535627,78,1,1714.626974840367,1714.626974840367,11,39,0,7
CUST-0055,Asia,Enterprise,Active,52,232,31,392,14,0.7531085881704499,7.526168565461846,26,37,3576.0532587540506,96.6500880744338,2,46,2,4
CUST-0056,South America,Basic,Active,7,31,38,88,4,0.8743790123518584,6.18306699462828,62,21,3278.902068866841,156.1381937555639,9,29,2,2
CUST-0057,South America,Basic,Active,24,118,24,118,5,0.1707265786925172,6.399015759955693,4,26,1400.17853920661,53.85302073871578,10,62,1,7
CUST-0058,North America,Pro,Active,28,175,11,44,4,0.7334542715757063,6.233439068919809,89,36,1074.722562053605,29.85340450148904,2,16,3,5
CUST-0059,Asia,Basic,Active,58,151,6,398,10,0.5719647177101089,4.840794694634671,42,23,1549.7850122607042,67.38195705481323,5,121,3,2
CUST-0060,North America,Basic,Active,37,57,37,72,11,0.4840367736147801,4.530851254039385,89,1,2381.6650229334905,2381.6650229334905,9,10,2,5
CUST-0061,Asia,Basic,Active,28,190,35,170,4,0.4364286229320601,8.747355478587593,18,15,1108.851381250361,73.92342541669076,9,103,1,6
CUST-0062,Asia,Basic,Active,79,53,32,163,3,0.7277346111554477,6.556664167201796,40,21,2515.388186004079,119.78038980971806,8,84,3,1
CUST-0063,North America,Enterprise,Active,76,235,11,76,2,0.6114890855793939,3.832648665984909,72,9,1667.1760261553998,185.2417806839333,1,133,2,0
CUST-0064,North America,Enterprise,Active,40,184,20,58,2,0.7440357340154895,5.736857733867051,39,9,2230.586364365322,247.84292937392468,1,65,0,7
CUST-0065,Asia,Pro,Expired,42,40,33,128,3,0.822520846941301,4.477613609606856,14,10,1772.6997900845008,177.2699790084501,9,3,3,1
CUST-0066,Europe,Enterprise,Active,29,113,2,200,8,0.5938109696778336,9.00268867819906,32,26,1213.139750190575,46.65922116117596,13,142,1,6
CUST-0067,South America,Enterprise,Active,22,64,6,61,1,0.8843701800739023,2.0565077235055607,51,35,3796.390562500519,108.46830178572912,11,120,1,3
CUST-0068,North America,Basic,Active,70,167,5,205,14,0.5864702796335082,3.6899959828439615,38,25,3066.242886931055,122.6497154772422,8,68,1,3
CUST-0069,South America,Enterprise,Active,58,166,17,242,8,0.6093154572978261,4.740176147555433,23,26,603.4470442774875,23.20950170298029,10,146,0,6
CUST-0070,Europe,Pro,Expired,39,27,25,141,0,0.5438524868337805,5.658573506065535,63,11,3480.4485047967555,316.40440952697776,9,37,3,5
CUST-0071,Europe,Enterprise,Active,65,74,17,152,13,0.1728016728410642,8.381131383771097,15,38,1975.353233085579,51.98297981804155,7,73,3,4
CUST-0072,Europe,Enterprise,Active,45,149,3,182,14,0.6811176261201826,2.659157184051079,25,2,3583.481296231661,1791.7406481158305,3,143,0,4
CUST-0073,North America,Basic,Active,37,71,29,234,14,0.5379570455192892,8.043986650558576,17,7,3209.428260991895,458.4897515702707,3,49,3,5
CUST-0074,Europe,Basic,Expired,72,50,33,240,0,0.4607283579328836,2.417401170177315,66,18,1729.593342653472,96.088519036304,2,121,0,3
CUST-0075,North America,Basic,Expired,37,187,28,254,4,0.8283770227226185,8.317355264736362,78,27,138.75376786446373,5.139028439424583,5,88,0,3
CUST-0076,Europe,Basic,Active,18,34,21,350,5,0.3383675612335604,2.3872660840588464,53,34,1111.275569570537,32.68457557560403,12,140,0,7
CUST-0077,South America,Enterprise,Active,25,79,25,165,5,0.518881820812009,2.136818610712708,51,27,2189.4551479104243,81.09093140408979,12,37,1,3
CUST-0078,South America,Enterprise,Active,52,22,13,258,2,0.6581134971947706,7.227210967748162,39,17,2552.238968313282,150.13170401842834,3,61,3,1
CUST-0079,Asia,Basic,Active,24,158,36,95,6,0.7371774205391018,9.479416510762958,51,24,1068.6563574611491,44.52734822754788,14,124,0,3
CUST-0080,South America,Pro,Active,12,156,34,28,8,0.467477446356938,8.724576972305156,70,25,600.4564925876554,24.018259703506214,6,39,3,2
CUST-0081,Asia,Basic,Active,11,218,34,93,10,0.7736731320149678,6.3199881335424495,6,7,3347.9744353572314,478.2820621938902,2,63,1,7
CUST-0082,South America,Basic,Active,71,129,38,272,11,0.715134193052318,8.880467098141487,67,6,3938.388613779031,656.3981022965052,12,46,0,0
CUST-0083,North America,Basic,Active,21,229,13,249,9,0.1529887822814927,2.0397500479820407,7,24,2126.476220095609,88.60317583731704,3,88,2,3
CUST-0084,South America,Basic,Active,37,157,4,26,7,0.1366890131237063,9.313003722088569,51,33,728.1331791007988,22.064641790933297,5,11,1,5
CUST-0085,Asia,Enterprise,Active,52,106,2,193,5,0.596644547537673,5.680615844440883,72,29,1125.6139397515074,38.814273784534734,12,62,2,0
CUST-0086,Asia,Basic,Expired,63,112,34,160,11,0.3779307265803314,7.421720724663317,42,22,122.6431723624936,5.574689652840618,11,77,3,1
CUST-0087,Europe,Pro,Active,26,80,11,187,7,0.2673046328628113,8.156461048650144,64,26,3661.480285913971,140.82616484284503,11,52,3,5
CUST-0088,North America,Pro,Active,34,46,30,189,11,0.5637199475773907,7.388429531274152,15,28,515.1167774160574,18.397027764859192,1,4,1,0
CUST-0089,South America,Basic,Expired,42,229,14,302,4,0.373250568365236,6.012775490336829,29,21,2327.240078281301,110.8209561086334,13,59,3,5
CUST-0090,Europe,Enterprise,Active,55,205,13,141,7,0.5298107333712561,5.574646130948089,33,7,1132.5181217144636,161.78830310206624,1,72,2,1
CUST-0091,South America,Enterprise,Expired,58,100,32,213,9,0.4680953271868576,8.289369190269685,27,17,2239.003109937384,131.70606529043437,10,148,0,7
CUST-0092,South America,Basic,Active,12,65,3,24,11,0.567812884759323,3.538081701120944,36,20,2623.110533989864,131.15552669949318,9,93,0,2
CUST-0093,Europe,Basic,Active,31,167,36,48,3,0.4202403911282251,9.259955498781755,29,20,3327.4801246434463,166.37400623217232,7,63,0,1
CUST-0094,Europe,Basic,Expired,31,200,24,184,9,0.6581340589575454,7.332143591275612,38,22,865.3640234543826,39.334728338835575,1,54,1,1
CUST-0095,Europe,Basic,Active,25,77,18,358,7,0.2440538178794388,3.4963019550373984,57,28,93.43352320099788,3.3369115428927816,12,117,3,5
CUST-0096,Europe,Basic,Active,34,204,27,155,9,0.6572011729816631,7.521853877738661,27,7,590.6982387717887,84.3854626816841,14,110,2,7
CUST-0097,Europe,Pro,Expired,32,139,9,384,11,0.4293289714860225,5.973800173858376,55,1,3605.073635300015,3605.073635300015,8,74,3,6
CUST-0098,South America,Pro,Active,68,164,30,340,1,0.7994540838835337,7.304225717333334,33,32,3501.8658063719354,109.43330644912298,3,107,3,4
CUST-0099,Europe,Basic,Active,73,72,27,361,11,0.5121888438913688,7.758346260821291,68,13,2409.7817535727177,185.36782719790136,8,57,3,3
CUST-0100,North America,Basic,Expired,65,72,11,164,11,0.8784882794160834,2.6546763469225656,86,30,2422.041598712931,80.7347199570977,5,3,0,3
